web-scraper-order,web-scraper-start-url,ReviewTitle,ReviewBody,ReviewRating,next,next-href
"1573043995-4733","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great for the price!","my sister has the airpods and we sound tested both and agreed the Samsung buds sound better, and have better noise cancellation and now shes sad that I got the better product :)","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_132?ie=UTF8&pageNumber=132&reviewerType=all_reviews"
"1573044003-4773","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Almost worth the money","If they are not at 100% charge, or your phone is moving, they cut out.  This causes problems on a jog/walk, otherwise they are good.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_136?ie=UTF8&pageNumber=136&reviewerType=all_reviews"
"1573044079-5117","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good","Good","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_170?ie=UTF8&pageNumber=170&reviewerType=all_reviews"
"1573043845-4094","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great Product","My husband got rhese for work and loves them, he says it even cancels out my nagging... 🤦🏾‍♀️ Lol","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&reviewerType=all_reviews"
"1573044240-5831","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Easy to use, easy to lose","Sound quality is great. I love that I can pop one or both out of the case, into my ears, and immediately pick back up my audio where I last left off.

What also happens rather easily is dropping the case a short distance, having the ear buds roll out, and then onto the floor.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_242?ie=UTF8&pageNumber=242&reviewerType=all_reviews"
"1573043852-4123","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Not worth your money","The left ear piece lost about 75% sound after a few uses. Using the right i am not able to be heard during calls. Overall not at all pleased with an expensive product of poor quality","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_71?ie=UTF8&pageNumber=71&reviewerType=all_reviews"
"1573044229-5783","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","BEST EARPHONE I EVER GOT!","long battery, simple, small, and I love the auto shut off when it is not on your ears. clear sound and if you have samsung phone it have ambient sound which is perfect to talk to people while listening to music with your earphone in as long as you dont put it to max volume.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_237?ie=UTF8&pageNumber=237&reviewerType=all_reviews"
"1573044017-4830","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great product with only one small issue.","Amazing product with only one issue that I have found. The wingtips get a tad bit uncomfortable after a little while. But other than that everything else is great.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_142?ie=UTF8&pageNumber=142&reviewerType=all_reviews"
"1573043818-3980","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","No replacement parts.","I enjoyed using them and they worked rather well. Just a heads up that Samsung does not offer any replacement parts for sale. So, if you're like me and you lose your charging case, Samsung support just tells you to buy another pair. Kind of a slap in the face but hey, my mistake for losing the case. So now my buds just sit there, unused.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_57?ie=UTF8&pageNumber=57&reviewerType=all_reviews"
"1573044264-5942","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","They get the job done... But you still can't beat wired headphones for sound quality.","Light weight, comfortable fit, decent isolation. Mic for phone calls is horrible. Sound quality is OK - fine for my commute, but I switch to other options when convenient when I want quality sound.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_253?ie=UTF8&pageNumber=253&reviewerType=all_reviews"
"1573044073-5084","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Best buds around.","My buds are for personal use, sound is clear and excellent, lite and hardly know I'm wearing them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_167?ie=UTF8&pageNumber=167&reviewerType=all_reviews"
"1573043972-4637","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Fall out","They always fall out every second","2.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_122?ie=UTF8&pageNumber=122&reviewerType=all_reviews"
"1573044173-5537","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Wash and wear...","I washed these buds in a large load of clothes, dried them, and am now listening to music.  The keep a charge, and sound almost  better than before I left them In my shorts pocket and washed the on permanent press cycle.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_212?ie=UTF8&pageNumber=212&reviewerType=all_reviews"
"1573043713-3543","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","In-Ear Goodness","I've owned and tested the galaxy buds for about 3 weeks now and I love them! I've previously owned the jaybird x2's and jaybird freedom but these are my go-to headphones for working out! They fit well and dont fall out of the ear even during sternous exercises. They include different sizes of ear tips to ensure a proper fit for most ears. Connectivity was simple! If you have a newer samsung phone, all you need to do is flip the lid open to the galaxy bud case and the phone detects them itself and asks if youd like to connect. If you have an Apple phone, you have to go in to your settings and manually pair the ear buds after opening the case. The best part is, you can choose to use only 1 earbud at a time! The sound quality is good after being tweaked using Samsung's equalizer. So far, I haven't needed to charge my buds as the case charges them back to 100% everytime I put them in. All in all I think these are a step above the icon X buds. These were given to me at a discounted price to review.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1573044075-5093","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very good item","So worth  it  for  the  money","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_168?ie=UTF8&pageNumber=168&reviewerType=all_reviews"
"1573044079-5109","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","This is what i have experienced","They have connection problems
not as loud as some of the others","3.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_170?ie=UTF8&pageNumber=170&reviewerType=all_reviews"
"1573044271-5974","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazing for the price","Works perfectly","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_256?ie=UTF8&pageNumber=256&reviewerType=all_reviews"
"1573043747-3680","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Superb Noise Canceling Awesome Sound","To date there is not a single thing I can complain about these headphones, aside from a few rare technical difficulties that would occur. Like random times when it takes a few attempts to sync with the phone but this may only happen once out of a hundred uses. Also, sometimes the quality of my voice seems to make people have a hard time hearing me but this is only when I am in a noisy environment so take that as you will. Besides that, these offer an awesome sound that provide amazing noice canceling that I have not experienced before with in ear headphones. From mowing the lawn to vacuuming inside the house, I could barely hear either noise when using these. You also have the feature to allow ambient noise to hear your surroundings while enjoying these headphones which was a nice plus when you're jogging or are in an area where hearing your surroundings is important. All in all, the convenience of being able to pull these out of there case and simply put them into your ear to activate the bluetooth feature is a luxury I can not go without now. 5/5","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&reviewerType=all_reviews"
"1573044193-5621","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","This is the bluetooth headphone I've been waiting over a decade for.","I always liked the concept of bluetooth headphones and was an early adopter, in like 2006 or 7 when the only option was the Motorolla HT820, which made you look like Princess Leah.  Then a year or two later S9 came out and that was better, then S10. for many years.  Then other various models, my last one were the Jaybird X3.  They all fit in ear, but were connected by wires that wrapped around your head.

What I always wanted and yearned for were small wireless buds that you can just put in your ears and have powerful sound.  And I'd say these galaxy buds are equivalent in sound to Jaybird X3.  I want the buds discreet.  And we have them with the galaxy buds.  While Apple may have been in the right direction, with two pods directly in ears with no wires, that tampon string looking thing sticking out is a dealbreaker.  (Yeah I know there have been higher priced or lower priced buds out for years.)  But I like the small size and the price of the galaxy buds, the $130 price is the same I paid for my Jaybird X3 last year.

I don't think you could wear both buds all the time, because you could have problems hearing people.  It's too good in blocking out outside noise and the ambient sound feature does amplify sounds, but too much as you can hear the ruffling of your clothes, and voices seem computerized.  So I just have wear one earbud all the time and leave the other one in my pocket when I'm not listening to music.

Hopefully Samsung version two will just get better, maybe 10 percent smaller, and peach color to be even more discreet.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_221?ie=UTF8&pageNumber=221&reviewerType=all_reviews"
"1573043863-4174","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazing call quality","Very good right off the bat!  They sit comfortably in your ear but wont come out if you shake your head or anything like that.  Would recommend for anyone looking for ear buds.  Call quality is also amazing from anyone whom I have spoken with.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_76?ie=UTF8&pageNumber=76&reviewerType=all_reviews"
"1573043958-4574","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Micrófono deficiente","Cuando se envía un voice o un mensaje de voz se escucha muy bajo, capta todos los otros sonidos menos la voz que está a menos de 5cm de los auriculares.. el sonido bueno pero el micrófono deficiente.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_116?ie=UTF8&pageNumber=116&reviewerType=all_reviews"
"1573043683-3432","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Airpod killer!","Amazing headphones and definitely an apple airpod killer! They are comfortable and I didn't have to change the tips or wings because out of the box it was perfect!

Like every new product there will be some issues. I have seen some issues with music cutting out here or thier for a slight second and it fixes it self. Samsung did just update them today which seems to have fixed Bluetooth issues but just know Samsung is working on fixing any issues we have with these.

This does feature ambient sound which is an awesome feature that just lacks a bit. I feel after a few updates this will be amazing and one of the best features!

Call quality on these have been good but have noticed slight cutting out every once in a while but could be due to service and we're I'm located. The people on the other end can hear me perfectly in door and out so that's always good.

Overall I would highly suggest getting them if you have Samsung or not because of the price and the awesome features it has already built in. Feel free to ask any questions and I'll be happy to respond!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1573044139-5382","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Perfect fit","Could be louder","4.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_197?ie=UTF8&pageNumber=197&reviewerType=all_reviews"
"1573043983-4684","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Surprisingly Comfortable","I love these earbuds, especially when I need to zone out!! The battery life is amazing!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_127?ie=UTF8&pageNumber=127&reviewerType=all_reviews"
"1573043793-3878","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Make sure you update your firmware!!!","I got these and was about to return them for some bluetooth connection issues and interference. I then installed the Samsung app and a firmware updated popped up stating that it fixes exactly that. After the update, I was required to factory reset the buds to get any sounds out of them. Took me awhile to troubleshoot but now they work great!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&reviewerType=all_reviews"
"1573044006-4779","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Smaller, lighter, wireless charging, last longer. Missing storage, coach and swipe","I still chuckle as I'm reminded of the movie""there's something about Mary"" every time I see apple airpods hanging off someone's ear.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_137?ie=UTF8&pageNumber=137&reviewerType=all_reviews"
"1573044315-6165","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Worthless","These disconnect then reconnect constantly, which makes them unusable. This is a known issue that many other users have been having - Google ""Galaxy Buds Disconnect"" and you see tens of pages from users with similar issues.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_275?ie=UTF8&pageNumber=275&reviewerType=all_reviews"
"1573043949-4533","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","They are ok not the greatest","Everyday the earbuds constantly disconnect at least three to four times throughout the day of use curious if it's because my phone is a few years old or if Bluetooth technology just isn't that good yet","2.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_112?ie=UTF8&pageNumber=112&reviewerType=all_reviews"
"1573044055-5008","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Stop working after few weeks.","Had to get the original one replaced and even those aren't working as should. Dont buy.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_159?ie=UTF8&pageNumber=159&reviewerType=all_reviews"
"1573044023-4866","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Annoying","Have to put tape over the sensor in order for it to actually work without the constant pauses that occur.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_145?ie=UTF8&pageNumber=145&reviewerType=all_reviews"
"1573043743-3666","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very good product","These are so good.
Good audio, battery life, and range.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews"
"1573044178-5556","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Have been waiting for this from long time","Best buds till date","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_214?ie=UTF8&pageNumber=214&reviewerType=all_reviews"
