title,body,rating,product
Cordless Bliss for Smol Ears,"I was highly impressed with these Bluetooth earbuds as soon as I started using them!

I bought these because I have smaller ear canals that do not work with the AirPods or other non-silicone in-ear buds. I was skeptical about shelling out 50 bucks but the reviews convinced me on this pair and I’m super happy with my choice!

Pros:
- Incredible sound quality. Impeccable bass and treble / vocals sound super clear as well.
- Large range of volume. I usually have these set around 5 or 6, well below the max iPhone volume, and get almost no sound interference. They’re plenty loud with seemingly no loss of quality.
- EASY Bluetooth pairing! Once set up, they connect automatically in ~10 seconds to each other and my phone as soon as I take them out of their case.
- Sleek, magnetic charging case. I love the magnetized slots for the buds within the case and the fact that it holds about 4 charges.
- Comfortable, easy in-ear fit.

Cons:
- They are a taddddd bulky and look like they’re sticking out of my (relatively small) ears quite a bit. This is a negligible note since they’re still super comfy and the sound quality is GREAT!",5.0,Tozo10 Bluetooth Wireless Earbuds
Almost perfect,"These are wonderful. They cancel sound very well even without music, which I like because of the loud work environment Im in. When I bought them one of the ear buds would lose its charge in half of the time as the other one and I notified the company and was able to get a replacement very quickly. Wonderful customer service.",4.0,Tozo10 Bluetooth Wireless Earbuds
Great sound!,I really like these ear buds. I was worried they would fall out of my ears. They come with several different sizes of ear tips. They fit great. Great noise cancelling. Its nice not to have a cord attached. I have two negatives or i would have given 5 stars. They pair automatically except i have to open my phone to tell it to pair. I dont have to do that with my car or my small blue tooth speaker.  As soon as i get in range they pair automatically.  The other is that it has to be in direct site to play. If i put my phone in my back pocket it cuts out.  These are very small compaired to the quality you get. These are the best blue tooth ear buds i have used.,4.0,Tozo10 Bluetooth Wireless Earbuds
Great price and easy to use,Picked these up to use at work. So far so good. Very easy to use out of the box and impressed with the sound so far. Definitely a good deal for the price point,5.0,Tozo10 Bluetooth Wireless Earbuds
Love these! Super easy to use and connects with all my devices,"Loving these headphones so far. The battery life is great and the headphones connect with all my devices. I previously had issues connect Bluetooth headphones to my computer but these easily connect and the sound quality is great. They are small and compact. I love the case, its all magnetic and the headphones has a designated space for each bud. Would recommend!",5.0,Tozo10 Bluetooth Wireless Earbuds
Affordable quality product.,"I just got these today and I have to say that I'm impressed. The sound quality is very good for the price range. You can hear all the highs, mids, and feel the beat of the bass in your ear. Voices sound clear and undistorted. From out of the box and paired to my iPhone XS it took less than a minute. The battery only lasts 3 hours for music and 5 hours for talk so if that's important to you then you might want to consider other options. However with that being said the case can recharge the headphones up to 4 times before having to be recharged itself. The manual claims a 20-minute quick charge will get you 1 hour of life. They fit snugly in my ear without any discomfort and stay there just fine. There are different sized cushions for differently sized ear canals. Both the case and the headphones are waterproof. I've seen some people complain about these not working underwater. The manual clearly states with visuals that these will not work underwater as Bluetooth signal bounces off the surface of the water. If you were to ask me I'd say go ahead and buy them. Even if they aren't your main pair of true wireless earbuds then they'd make an excellent backup pair.",5.0,Tozo10 Bluetooth Wireless Earbuds
2 pairs,Just bought an extra pair. They Re definitely beat headphones for the price. I like to wear them while I run and I sweat a lot. They are definitely water resistant.  I have broken beats and many other headphones that were supposed to be water resistant.  I would recommend these 100 percent.  I will never buy another brand,5.0,Tozo10 Bluetooth Wireless Earbuds
"Can't swim with them, but the sound quality is great.","These earbuds work awesome until you go under water with them, the only reason i give the 4 stars is ""waterproof"" to me means i should be able to swim with them on. Other than that these little earbuds with such a low price pack a nice punch and sound great, i will enjoy these for a long time.",4.0,Tozo10 Bluetooth Wireless Earbuds
Really work - even in my ears,"I love the T10 earbuds. I have the kind of ears that will not hold Apple earbuds. They just fall out. I have not been able to find others that stay in my ears reliably, until I bought the T10s. I did 50 jumping jacks wearing the earbuds yesterday morning, and they stayed in place! Today, I gave them a more rigorous trial. I did a 30-minute P90X3 workout called CVX that involves lots of jumping up and down - lots of impact. The earbuds stayed in place the whole time - no problem! The sound is so good, that although I have done this workout at least 20 times in the past, this time, I heard parts of the commentary that I had never heard before. My previous earbuds had carrying cradles with hooks that went over the ears. They worked fine as long as there was not abrupt movement or bouncing. Then they would come loose and fall off. This even happened when I was on my rowing machine. The T10s, in contrast, are rock steady regardless of my movements. I also find that they pair easily with my iPhone, and my iPad, and my MacBook Air. And while I had trouble with my old earbuds when trying to switch from one device to another, the T10s are a breeze to switch between devices. I've only owned the T10s for 3 days, but so far, they seem to be an excellent product.",5.0,Tozo10 Bluetooth Wireless Earbuds
Fantastic earbus,"I've owned a couple of sets of wireless earbuds like these, however, these surpass any of the others.  The sound quality is supurb; battery life is extremely long.  The wireless charging of the base is a unique feature and one that really drew me to this product as I have wireless charging pads all around my apartment and office, so to be able to just drop the base down on one and charge is a feature I'll never grow tired of.",5.0,Tozo10 Bluetooth Wireless Earbuds
They’re GGGGrat !!!!!!,"I bought a pair for my son in-law for a Fathers Day gift for him. He love them and said how great they were, so I ordered me a pair. I agree, they’re great.",5.0,Tozo10 Bluetooth Wireless Earbuds
Easy and Quick,"I got these ear phones for my Fire and Audible books.  Once in my ears they ""melt"" away and you forget they are there.  With no connecting wires you can turn your head and they do not move.",5.0,Tozo10 Bluetooth Wireless Earbuds
"Sound is AMAZING, range sucks :( VERY SAD :(","I ordered these to swim laps in a pool with, it says not for swimming. But it says you cant go underwater with em n use BT bc the water breaks up the signal.  No problem I dont ever get my head wet anyway. I tried these out n I was working on our 35'RV n it's good up to 10 meters(32'). It kept cutting out at about 28'-30' range. Cant even use a back yard pool with these.  Very sad as the sound is AMAZING! I LOVE EM, there comfy and many size plugs to fit any ear, but unless you have your device less than 20' away from you these will leave you frustrated. Everything is great with these buds expect the range. #sadpanda",2.0,Tozo10 Bluetooth Wireless Earbuds
Great quality for price!,"I recently bought a pair of the Tozo t10 wireless earbuds , and could not be happier with the quality especially for the low price. I’ve been looking for a wireless earbud that is comfortable and cost effective, without sacrificing sound quality, so far Tozo has done exactly that. The sound is rich and full, they are comfortable to wear compared to other earbuds, and they connect very easily. For the price there is no better!",5.0,Tozo10 Bluetooth Wireless Earbuds
Horrible,"I wonder if the reviews here are for this item!  These earbuds are HUGE!  I received the earbuds yesterday.  I plugged in the charging box, to see that it is charging, you have to view from the top.  Once the box was charged I put in the earbuds to charge.  The light on the buds never turned from red to blue after hours of charging.  I use my earbuds to sleep so I removed them from the case and they paired with relative ease.  The sound was o.k. but there was a lot of fading in and out on the left side.  They would play for about a half hour and then nothing; once I turned them off and on they would play again.  For sleeping, these buds are ear splitting big and they did NOT come with different sized tips.  I am returning these post haste.  EXTREMELY DISAPPOINTING PRODUCT.",1.0,Tozo10 Bluetooth Wireless Earbuds
"Great Product, Great Price! Highly Recommend!","I am very happy with my purchase of TOZO wireless earbuds! They are very comfortable and do not fall out even when working out. The sound quality is clear and loud. Even if I have the volume very low, the noise cancelling feature works great! I love these so much I got a pair for my dad too! We love them! Also, the battery pack can charge them 4x and you can put a string on the charger too so you can wear it on your neck if you have no pockets.

My only con is that the left earbud cannot connect without the right earbud being connected. But they're identical, so you can use the right one in the left ear if you want, so I still gave it 5 stars.",5.0,Tozo10 Bluetooth Wireless Earbuds
a huge disappointment,"I decided to try these out as my first foray into single earbuds. I really wanted to like them and picked these for the extra features of the Qi charging, waterproof status and decent case.

It only took me a few days to realize this product was subpar. The sound was weak. I swapped out all the different ear bud pieces to find the right fit, nothing. My volume was maxed out on my phone (tried 3 different devices) to the same result. I normally am listening comfortably at 50% volume.

These also did nothing for canceling noise. At first I thought, ok, maybe I read the description wrong, maybe these ARE for hearing the ambient sound (not a bad feature in itself) but the features to rate this product includes a Noise Cancelletion option so this is clearly not the case.

On to the battery life. One word, horrid. I have previous wireless bluetooth headsets that do remarkably well, 5, 6 hours. The most disappointing and unacceptable part however was how it dies. I watch the % as I'm listening , 100%, 90%, 80%... After about an hour or more the sound degrades rapidly and if I check and see it at 60 or 50%, it starts to noise dive and drops to 40/30/20 and dead in less than 10 minutes. This simply sucks in my book and not going to work for any of my longer activities.

going back to the skull candy bluetooth, rock solid and better sound even after 1 year of use.",1.0,Tozo10 Bluetooth Wireless Earbuds
"Amazing value, I just wished they worked with a Pixel 2","Right off the bat: I got a pair of these delivered, they would work for an hour or so and then I'd have major signal issues.  Left ear would cut out, right ear, the whole thing.  This ONLY occurs when I am moving and can sometimes be mitigated by not having my phone in my pocket.  That said,I worked with an Amazon rep to walk through a bunch of solutions and nothing worked.  They sent a replacement pair and I had the exact same problem.

All of that said, there is a very good chance that the problem is with my phone, a Pixel 2.  If you have a P2 or P2XL, you will remember that there were many issues at launch with Bluetooth connectivity.  I genuinely believe it is a compatibility issue.  I will say that I tried almost every configuration of settings I could (AVRCP versions, Bluetooth Audio Codecs, Sample rates, etc) and wasn't able to find any particular setup that would mitigate the problem. Also, I had a pair of BeatsX (that died prematurely, do NOT buy them) that never had any kind of signal issue like this.  I've also had other devices that worked great (fitness trackers, Bluetooth speakers) and did not have an issue with any of them.

So in short: the audio, battery life and usability of these earbuds is absolutely astonishing for $50.  If you have a device they will work with, I can't imagine a better value.  But as I said, they are all but useless to me at this point. Luckily the return process seems to be fantastic so I'm not out anything.  Also, I'm not seeing other folks have the problem so it is possible I got two bad pairs but I don't think so.  I just think it's a combination of issues around Pixel 2 Bluetooth, Android/Bluetooth versioning and the antenna setup on these particular earbuds.  Caveat Emptor if you have a Pixel 2.",4.0,Tozo10 Bluetooth Wireless Earbuds
Great product!,"Great product at a very good price. I love the way these look and feel and I especially like the various air bud sizes. I can never seem to get earbuds to stay in place when I run, however the smallest sized earbud fits comfortably! Worth every penny!",5.0,Tozo10 Bluetooth Wireless Earbuds
These are fantastic!,Order several other earbuds and had to send them back. These are great because they connect to any device quickly.  If you find its not connecting to a device it just means its probably connect to a second device you were using. Trust me when I say this is a quality item.  I may order a second pair just to have for travel.  Great find!,5.0,Tozo10 Bluetooth Wireless Earbuds
Great product at an unbeatable price.,"I did a lot of research before deciding on these ear buds. Many of the review videos I watched rated these better than the big name brand competitors. Once I received the product, I can honestly say I was happy I went with these. The sound quality is amazing, and they seem to be very well made. Easy to connect and start using within seconds out of the box. Well worth $50.",5.0,Tozo10 Bluetooth Wireless Earbuds
Great quality for great price,"These earbuds are amazing quality for an amazing price. They have great sound quality and are very comfortable. My ears are small so it is difficult to find comfortable earbuds, but these are great and have 4 different sizes for all ears.",5.0,Tozo10 Bluetooth Wireless Earbuds
"Great sound, good fit",I was skeptical to purchase these shape headphones because they are too large for my ears but these came with different size options. I can move my head around as much as I please and they stay in. They give great sound and a definitely noise canceling. The only complaint I have it that the microphone is not the strongest and it is hard for people to hear me when on the phone but that was something I expecting with the size of them. For the most part I love the headphone and I would 100% reccomend them for music and videos.,5.0,Tozo10 Bluetooth Wireless Earbuds
Solid Wireless Earbuds,"I love these earbuds! I have them on me constantly. They are incredibly easy to maneuver into a comfortable position from the case to your ear. Most of the time I do it with one hand.

The package comes with three sizes of ear buds that you can swap out to reach the ideal comfort and noise cancellation. The ear buds stay in my ear really well. Once they’re in, I don’t have to adjust them at all. I’ve gone on 10 mile runs without having to worry about them at all. I also have no issue with their comfort or ability to stay in during high mobility and high impact workouts.

I haven’t put them through a rough test for waterproofing such as swimming. However, in a heavy rain while out running, there is no degradation in quality, comfort, or connection.

One small downside is that occasionally the left earbud comes out of synchronized with the right earbud and takes a brief second to reconnect. I think this is mostly due to interfering signals. However, it is a rare occurrence. Usually while I’m operating power tools. Again, it doesn’t happen very often.

I don’t give 5-stars for noise cancellation because the cancellation isn’t active cancellation and depends on how much of a deal in your ear you can get from the rubber ear pieces. I never get a perfect seal, despite the different sizes. However, it works well enough that I dont have to worry about my lawnmower drowning out the sound.

Overall, these are lightweight, comfortable, high quality, and a good set of ear buds. They charge quickly and the charging case does as well. I love how compact they are and having them in my pocket everywhere I go. I appreciate the indicator lights that show operation and battery level. There are lots of good features for a solid set of headphones.",5.0,Tozo10 Bluetooth Wireless Earbuds
Get a set of Comply Audio Pro - SmartCore foam replacements and this is 5-star,"I originally bought a pair of high end Jaybirds but the manual said do not use in the shower, so I took them back. My use case is listening to podcasts (mostly spoken words, interviews, etc. I.e. not music) in the shower. I used to use a Bluetooth speaker for this and just crank it up, but then I had a newborn so can’t wake him.

I am “wow-ed” by these little guys!!!! SOooo much cheaper than the Jaybirds and they’re actually usable in the shower. I’ve had them for several weeks and have not run into issues, and have only had to charge them once or twice.

I deduct a star because the stock ear bud fits my ear and seals ok, but it can shift and then the sound isn’t matched between earbuds. I bought a set of Comply Audio Pro - SmartCore foam replacements and the difference is noticeable. The bass hits much harder and the seal is much better.

I have no qualms recommending these, and the price is fantastic. I’m pleasantly surprised.",4.0,Tozo10 Bluetooth Wireless Earbuds
Now I'm just sad.,"Extremely disappointed. They paired nicely, had a good fit and sounded great for almost 10 seconds! Then the left ear bus kept going out every few seconds. I tried disconnecting and reconnecting several times and there was no change. Even tried with another device and same disapointment. Sadly I will have to return them. I was really hoping for some nice wireless ear buds.",1.0,Tozo10 Bluetooth Wireless Earbuds
Way more impressed than I expected,"I picked these due to the high reviews. I didn't expect much. I've tried buds before and they either hurt my ears or fall out, but was optomistic. When I got to my was pretty excited that they were not only comfortable in my ears but extremely stable. They stayed in and I never got the feeling there were about to fall out. Once I started playing music through them I was even more impressed. The sound quality was amazing in the base was pretty impressive. I bought Jawbone years ago for big bucks and was pretty disappointed. Figured wireless buds were just garbage and not for me. These totally change my mind. I would recommend them to anyone.",5.0,Tozo10 Bluetooth Wireless Earbuds
The search for great earbuds is over,"I had previously purchased several earbuds only to find that they were not suit to my preference. Most of these earbuds whether had bad sound effect or just frequently dropped bluetooth connection. I was about to consider purchasing an Apple earbud, which is cost more than one hundred bucks that I found this Tozo T10 on Amazon. I decided to give it a try before heading to Apple. To my astonishment, the sound was incredibly awesome, the treble and especially the bass were effectively echoed to my ears. I have used it for several days to listen to news and music, and every time I listened I was satisfied with the structure of this earbuds. The price is reasonable and the sound were great, what else could I wish for?",5.0,Tozo10 Bluetooth Wireless Earbuds
Super happy,"When I received the earbuds, I was amazed at how well the instructions where written so that I knew exactly how to set up my earbuds for the first time. I used them right away listening as I did my school work. The sound quality is amazing, the workmanship is very nice and they are very comfortable. I’m very surprised that these earbuds only cost $45, my Bose cost 3 times this amount and the quality was poorer then what I have now. Once again great product.",5.0,Tozo10 Bluetooth Wireless Earbuds
Amazing sound and range!,These earbuds sound amazing and have the best range of any I've ever tried! I can't imagine there is a better product in this price range. I even wonder if the sound quality rival that of Apple's and other expensive buds.,5.0,Tozo10 Bluetooth Wireless Earbuds
Great product for the price,"The sound quality on these are amazing to the fact that it almost drowns out outside noise. I have only been using for 4 days. I charge them and listen to music at work and the notification comes on to charge in about 3 hours. I have noticed that if I take out 1 earbud so I can hear around me at work it states that it is disconnected but, then it will automatically reconnect.",4.0,Tozo10 Bluetooth Wireless Earbuds
Amazing and comfortable product,Love this product amazing sound and comfortable fit.charging is fast for the price definitely a great purchase looking forward to more products from this manufacturer I give 5 stars because all around a quality earbuds and I'm enjoying them! Can't go wrong with the tozo T10 earbuds beautiful design!,5.0,Tozo10 Bluetooth Wireless Earbuds
Good but I like the t8 more,I bought the t o z o T8 a while back and was a huge fan of them. When I discovered there was a T-10 option I was excited to try it as well. The sound quality is still very good and I'm very happy with it. The size is significantly bigger than the T8 and it the fit does not feel as good to me as the t8s do. All in all for $30 it's a very solid headset with a recharging case and great quality,4.0,Tozo10 Bluetooth Wireless Earbuds
Good set of Earbuds.  Some connection issues when in an area with strong signals.,"The earbuds seem to work well so far.  I do have some repeatable sound drop outs when walking through certain parts of my commute.  Must be strong signals in the area.  This is in a major train station.  The other issue I have, is the buttons on the earbuds require you to press pretty hard on them, forcing the buds hard into your ear, and making an uncomfortable air pressure sound in your ear.  The buttons are of the detent types, and not just touch sensitive buttons.  The case for the earbuds, is also a little large, making it hard to keep in your pocket.",4.0,Tozo10 Bluetooth Wireless Earbuds
Perfect to exercise,"I bought these to be able to exercise without hearing the cables moving. The noise cancellation is great. Easy to pair, great quality sound. They had white as a color choice. It comes with different cap sizes to fit your ears. You can charge them in the box and wirelessly. You can also receive phone calls. I am VERY happy I bought them.",5.0,Tozo10 Bluetooth Wireless Earbuds
Left Ear Bud Issue Quickly Solved by Great Customer Service!,"My left ear bud went out. Very unusual, I am told. Not sure about my warranty but it was after Amazon's return date. Contacted customer service on a Saturday. Received a reply that same day. Was told they would replace them. Incredibly, received my replacements on Wednesday. Impressive! No return of the old ones necessary. I love my ear buds so I can listen to Hair band music and Audible books  on my 7 mile daily mountain walks with my new rescue pupper. Special thanks to Katherine.",5.0,Tozo10 Bluetooth Wireless Earbuds
"Almost Great, almost....","It sucks that I have to write this, because these headphones are almost a great buy. So here is the deal, they have great sound, great range, actually VERY good range as I've walked 30ft from my device and still had connection. But here is the problem, everytime I want to use my headphones I have to listen to the most annoying beeping sound for a solid 10 minutes. EVERY TIME. Due to the nature of my work I  use one headphone, and so when I go to use the left bud it will start searching for the right one and thats what causes the beeping sound.  There is no way to disable this, some suggest that yo simply take out the other bud and put it in your pocket but when I try that my device will loose connection. Its possible that this is caused by malfunctioning devices so that will not effect my review.

Here is the deal, I would LOVE to give this 5 stars, if they were to produce an app or put a button on the charger device that disables the buds from searching than I would for sure change the rating. It's so damn annoying having to listen to a beep every 10 seconds for 10 minutes when I want to use my device.",3.0,Tozo10 Bluetooth Wireless Earbuds
"Great sound and fitment, a real value!","Wow, great set of true wireless earbuds! Very impressed with the quality from the box to the actual earbuds. The material and workmanship A+. I have worn blue tooth headsets and but I thought I'd give wireless a try, but since I am a runner was afraid of losing, so I figured I will try with a inexpensive set first before purchasing a ""higher end"" set. I think I will keep my money and just stay with the Tozo10s. I've run with them and the noise cancelling is awesome. The rich bass really comes through. IPX8?! What?! For the money so far, this sounds as good if not better than the Jaybirds I have. Excellent, can't go wrong here!",5.0,Tozo10 Bluetooth Wireless Earbuds
Great earbuds,I've tried a number of Bluetooth earbuds prior to purchasing these. They really stand up to the sound quality of earbuds that cost hundreds of dollars -- I'm very satisfied.,5.0,Tozo10 Bluetooth Wireless Earbuds
Best bang for your buck. Easy.,"I had bought a pair of the T10's bundled with a pair of airpods just in case that these didn't turn out so well, boy was I wrong. These earbuds are wonderful, amazing noise cancellation going along with the perfect balance of bass and treble. Great options of rubber sizes to adjust to different ear sizes. Luckily, the pair they came with them were perfect for my ears. Comes with a year warranty  just in case for any mishaps. Amazing earbuds for a low prize, it was a great decision",5.0,Tozo10 Bluetooth Wireless Earbuds
Almost Perfect Earbuds,"I got these earbuds a little less than a week ago and have tried it out every night both while working out and while cooking/cleaning.  Here are my thoughts on it:

-- SOUND QUALITY --
I've got an amazing pair of Bose noise canceling headphones and use them frequently for gaming/PC sessions, but they're not at all ideal for working out, so I bought these wireless earbuds, and while it's not the most amazing sound quality I've ever heard, I'm pretty impressed.  Sounds nice and blocks out a decent amount of noise.  HOWEVER, one glaring negative that doesn't particularly bother me too much (but may deter you from purchasing) is that the sound sometimes cuts out on the left earbud.  I've literally sat down right in front of my phone, browsing Spotify, only to have it cut out several times in a row.  That was an isolated incident, though, and since then, it's only cut out maybe 1-2 times a day for about 1-2 seconds.  It's not a deal breaker for me, though, and despite this annoyance, I really enjoy these earbuds.

-- COMFORT --
I tend to get some discomfort from earbuds after wearing them for ten minutes, but with the smallest size, I've been able to wear these earbuds for 2-3+ hours with very minimal discomfort.  All I need to do is slightly adjust it when it gets a little uncomfortable, and I'm good to go again.  In addition, I don't have an issue with these falling out of my ears while working out, so that's a plus, too!

-- OVERALL IMPRESSIONS --
Pretty design, convenient wireless charging, good sound quality, very comfortable, and fantastic deal for the price.  But I had to knock off a star because of the sound randomly cutting out in the left earbud.  Otherwise, absolutely love these!",4.0,Tozo10 Bluetooth Wireless Earbuds
Pretty Good Buy,"So far no issues and complete satisfaction. Customer Service very quick with responding to inquiries of Warranty coverage information. Great for initial purchase purpose, when trying to speak on the phone people are unable to hear me clearly unfortunately.",5.0,Tozo10 Bluetooth Wireless Earbuds
No Volume Control,"Despite the false claim in the Amazon Q&A Board, these earbuds do not have touch control to adjust the volume.  For my application, this was necessary.

If volume control at the earbud is import to you, it is important to know these earbuds are completely lacking this functionality.",1.0,Tozo10 Bluetooth Wireless Earbuds
Awesome buds/ Excellent Customer Service,"Amazing product for the price. These bluetooth buds are the highest quality. Amazing waterproof case, charging dock,sturdy and built to the highest quality.

They have a great customer service staff.
10**********",5.0,Tozo10 Bluetooth Wireless Earbuds
Great headphones,"Really good headphones for the price, hold the charge pretty well, waterproof (so far tested under rain), noise cancellation is great. Buttons work as described, no issues there (used with iPhone).",5.0,Tozo10 Bluetooth Wireless Earbuds
Easy Connnection,The fabulous way it connects it connects is just great. fast and easy. I also love the compact case that contains these marvelous ear buds. You know when the case is charged and the buds are charged.. Makes ii a no guessing game like others. They fit securely with the multiple covers they provide. I can't say anything more than just get them. The price is good the quality is the best. No others will do...,5.0,Tozo10 Bluetooth Wireless Earbuds
Lives up to the 5 stars,"I recently upgraded to an iPhone XR and was looking for some wireless earbuds for working out in.  These work great! Very easy to pair with my phone and I like that they pair with themselves automatically out of the charging case.  The sound cut out on me briefly a couple times but I think it’s because I was at the gym and was competing for a signal with everyone else. Sound quality is good-very clear with just enough bass for my liking.

Overall, I’m very happy with them.",5.0,Tozo10 Bluetooth Wireless Earbuds
Great value. More pros than cons. Worth it.,Great value. Sound is great for a wireless earbud. Takes a bit getting used to as when u insert it in ur ear u have to allow it to sync then adjust at times to achieve the full surround sound. Sounds a bit confusing but when u put it in ur ears you'll know what I'm referring to. It will fall out at times and u will find urself adjusting it BK in ur ear. I wouldn't try to run with these but I would lift weights with them.,4.0,Tozo10 Bluetooth Wireless Earbuds
Awesome earbuds,Great earbuds!  I’ve never used earbuds before but I am very satisfied with the quality and sound. Highly recommend them to anyone!,5.0,Tozo10 Bluetooth Wireless Earbuds
Not Very Good For Calls,"I found them to sound better when I first place them in my ear and they don't move around, because once they do, the deep bass goes. I did find them to stay in my ear pretty well during a workout that included running. As far as voice calls, I found that the microphone must be awkwardly placed because the person I talked to had trouble hearing me at times, especially if I was trying to have a private conversation.

I wouldn't buy them again, because I would prefer to have something that allows for better call quality.",3.0,Tozo10 Bluetooth Wireless Earbuds
NOT WATERPROOF,"These earbuds are NOT WATERPROOF. I bought these to swim laps with and they are absolutely unusable.

The instructions say “waterproof” and then “(you cannot dip it into water)”",1.0,Tozo10 Bluetooth Wireless Earbuds
Can't beat the price!,"Just got these babies in the mail. Straight out of the box, they feel solid in my hand and the construction appears to be well made. They already have a charge on them as well as the case. That's pretty legit, most electronic devices do not provide the luxury of connect and go straight out of the box. I bought these because I bought a pair of JBL Endurance headphones a week ago. The sound on these headphones put the JBLs to shame! everything is better as far as I can tell straight out of the box. I cannot speak to the longevity yet, but best believe I am going to get some serious use out of these, so I shall return for an update later on. But so far, 4 starts for the initial review. My impression is that I will upgrade them to a 5 after long term use.",4.0,Tozo10 Bluetooth Wireless Earbuds
"Low Battery, Great Sound","While I love the charging case and the audio quality, the battery life is beyond terrible. I can't go more than an hour without changing them. Luckily each headphone earpiece can be used individually so if I go one earbud at a time I get maybe two hours.

If the battery life were longer, this product would easily get a 5/5 stars for mobility and audio quality. It is a shame that I cannot use it longer.",3.0,Tozo10 Bluetooth Wireless Earbuds
