title,body,rating,product
Really loving these.....,"Bought 3 pair now, one for me. and my 2 teens. I' m hooked!
I use them for international and local US conf calls ALL day long and they are great!  While I do forget they are in , after a long time in my ears, my ears get annoyed/sore. I have small ears ...so I would like if there was a small version or cushion.
I've been through a seriously long list of bluetooth headphones for exercise and business, and these are definitely the best to date.",4.0,Apple Airpods-Latest Model
Great gift for a great price,"Got for a friend as a birthday gift, and she loved it. Great price on Amazon!",5.0,Apple Airpods-Latest Model
Not real reliable,Didn’t have long but the right ear one doesn’t always work. Had a few months.,3.0,Apple Airpods-Latest Model
Perfect,Perfect no other words For it,5.0,Apple Airpods-Latest Model
Apple apple apple when will they learn,"Cool item
Apple is taking over the world though",1.0,Apple Airpods-Latest Model
Used product,"Quick delivery. Package was in good shape but the AirPods case had some little specks on it. Was expecting to see a clean white surface since it was wrapped in a plastic adhesive, but I had to scrape the specks with my fingernail.

When I opened the AirPods case there was dark residue in the cap and surface of where the pods sat in. The earpieces of the pods had crusty earwax on it. I spent a good 10 minutes with sanitize wipes cleaning the whole thing.

The product works fine but I just wish it didn't have another person's earwax on it.",2.0,Apple Airpods-Latest Model
perfect,wife loves them,5.0,Apple Airpods-Latest Model
Great product,I'm absolutely in love the the Apple AirPods.  The sound quality is fantastic!  I love the little charging case and how portable these are.  What a great product from Apple!,5.0,Apple Airpods-Latest Model
Special Gift,"Special Gift
Superior design & ease of use. Great price too!",5.0,Apple Airpods-Latest Model
Great quality,In love with these. Best things every,5.0,Apple Airpods-Latest Model
Great!!!!,Couldn’t be happier with this purchase for my daughter,5.0,Apple Airpods-Latest Model
Love them,I love my air pods. The battery life is great and so is the sound. It was worth buying.,5.0,Apple Airpods-Latest Model
Worth the money,Worth the money,5.0,Apple Airpods-Latest Model
Just give me my proper headphone jack back.,"If you still have a headphone jack in your phone, don't buy these. After buying several dysfunctional dongles with headphone jacks (both official apple brand and off brand) and off brand wireless earbuds worth over $100 combined I gave in and bought these. In general these are better than most wireless earbuds, and its better to just buy these despite the price. They are about as comfortable to wear, and they have about the same level sound quality as my $10 gummy earbuds (Gummy earbuds have good quality and last a while so I'm not saying the quality is bad, just that these are insanely overpriced). They have some convenient functions but they are not worth $150 if you can avoid it. I enjoy being able to listen to music and podcasts privately so for the sake of continuing that source of pleasure I was forced to buy these. They don't always instantly connect to your phone which is slightly inconvenient but an easy fix, and the tap to pause function only sometimes works, so I could either tap it twice and it instantly pause perfectly like its supposed to or it could fail to pause after a dozen attempts. My next phone purchase might just be going backwards to the last iphone with a headphone jack just so I can listen to my music hassle free. That or finally abandon apple after all these years and find a good brand with a headphone jack.",2.0,Apple Airpods-Latest Model
NOT THE LATEST MODEL - Disgusting product. Spend your money somewhere else!,"THIS IS NOT THE LATEST MODEL. DO NOT BUY THESE IF YOU WANT AIRPODS 2. Also, mine did not work. They never paired and I feel like Amazon is scamming people by selling these as if they were in fact the latest model.

Edit: The second pair just came in and they are absolutely disgusting. If anyone at Amazon looked at these and thought it was okay to ship the product in this condition, I would be surprised. Please look at the pictures I attached. I have never been so displeased at a product/company. There's earwax on the headphones, dust and dirt all over the insides, and so on. I reiterate - do NOT buy this product.",1.0,Apple Airpods-Latest Model
Amazing.,Best Bluetooth headphones for ease of use and convenience.,5.0,Apple Airpods-Latest Model
Much better than the cheap knockoffs,"As someone who first tried the cheap knockoff version, These are vastly superior and worth the extra cost in my opinion. My old ones would shut off after only an hour of use and whether or not I could get it to connect in Bluetooth was hit or miss. I love these.",5.0,Apple Airpods-Latest Model
NOT latest model!,These AREN’T the latest model! I don’t know why it says that it is! Until I saw a friend with the AirPods 2 I realized these are 1st gen. I love them but it’s disappointing that all this time I thought that I had the Airpods 2 on.,3.0,Apple Airpods-Latest Model
It’s AMAZING,"They sound perfect, look great, and battery is great",5.0,Apple Airpods-Latest Model
You need these !,Great product! Use all the time,5.0,Apple Airpods-Latest Model
Worth the price,"Great battery life. Not too bulky or heavy to carry around. Noise cancelation is okay, not completely drowning out outside noise. Cheaper priced than the actual Apple store.",5.0,Apple Airpods-Latest Model
Very nice Invention,Batteries should last 8 hours,5.0,Apple Airpods-Latest Model
Disappointed,These are not the latest model. I have to return.,5.0,Apple Airpods-Latest Model
"Easy to use, works well",Easy to connect to your iPhone and sounds good,5.0,Apple Airpods-Latest Model
"Typical Apple quality, with the fidelity drawback of Bluetooth when listening to music.","Let’s face it, anything using Bluetooth for music is going to be lacking in fidelity. These are great for listening to books and taking phone calls.",5.0,Apple Airpods-Latest Model
Second Purchase,I hated having to buy a second pair but my daughter loves these and her previous pair were stolen.,5.0,Apple Airpods-Latest Model
Great Buy,I bought these as a gift for my sister and she loves them and says they work GREAT!,5.0,Apple Airpods-Latest Model
Worth the money!!,Amazing sound quality!,5.0,Apple Airpods-Latest Model
Headphones rock,"Love these headphones !  Work great with my Apple Watch , no need to carry my phone when I run :)",5.0,Apple Airpods-Latest Model
Great!!,Works perfectly,5.0,Apple Airpods-Latest Model
"Good product, but came 4 days late for me","Liked everything about it. Only thing that sucks is that to use the new abilities, you have to have the most recent update on your phone. And the package was 4 days late as well.",5.0,Apple Airpods-Latest Model
Quality,They were just as expected. My daughter loves them.,4.0,Apple Airpods-Latest Model
Another great one from apple,"Staying true to the Apple tradition, very easy to use. fast and reliable connection are the best part, I can quickly switch between my iPhone, laptop and Tablet.  haven't used with non-apple devices yet, so can't say anything about that. The tap gestures do not work very reliable for me.",5.0,Apple Airpods-Latest Model
Apple AirPods are worth the money,"I thought I would save money and purchased a couple of less expensive but highly rated wireless earbuds. I tried them for a number of days paired with my iPhone and discovered I was wrong. The inferior earbuds sounded tinny, with virtually no base. They fell out of my ears during workouts. The battery life was short. I reverted to Apple AirPods which I am now convinced is worth the money.",5.0,Apple Airpods-Latest Model
Bright and nice,I am really liking this case. The bright color makes it easy to find.,5.0,Apple Airpods-Latest Model
Good product,Good product,5.0,Apple Airpods-Latest Model
Great quality,All around great quality,5.0,Apple Airpods-Latest Model
Love them!,Love these things! I’ll accidentally keep them in my ears without realizing bc they are so comfortable. Thought I was buying the second gen though - this is the first. But no complaints with the product at all! Refuse to talk on the phone unless these are in!,5.0,Apple Airpods-Latest Model
As expected,"Amazing sound, high quality, as described 👍🏻👍🏻👍🏻",5.0,Apple Airpods-Latest Model
Awesome,My son loves them.,5.0,Apple Airpods-Latest Model
Great quality!,Our kid loves these,5.0,Apple Airpods-Latest Model
No hassle,I love them. They just work.,5.0,Apple Airpods-Latest Model
Fun pair to last a long time,I like these pairs of earphones great that there sound quality is crisp even on my adroid also great for work can have one airpod and it still sounds great,5.0,Apple Airpods-Latest Model
Great purchase,My husband was so excited to receive these. He wears them all of the time for music and phone calls.,5.0,Apple Airpods-Latest Model
Junk,The absolute worst amazon purchase ever! Never buy these. I was sent junk,1.0,Apple Airpods-Latest Model
I like it,"2 nd gen, it even cheaper than 1st gen, with my AE 30 dollars off offer, made my workout way more easier",5.0,Apple Airpods-Latest Model
they stay in your ears nicely,Great Product and Fast shipping,5.0,Apple Airpods-Latest Model
Work perfectly well,"I really wanted them as everyone is talking about them, but as a person with smaller ears, they keep falling so I don’t use them as much as I would love (expected as always). For the same reason, since I don’t use them as much. I don’t feel like the battery is the best, but I don’t have much of a comparison with any others as these are the first that I have ever had.",5.0,Apple Airpods-Latest Model
Easy easy to use. Great sound quality. Great calling experience.,Bought the cheaper off-brand knockoffs first. Spent $30. Ish. I couldn’t read the directions as the print was minuscule and in light-gray typeface. They weren’t on google so never knew how to work them sent them back-decided to suck it up and throw down the cash for these (plus they were discounted $15) and am glad I did. Synced w my iPhone 6S like a breeze. Easy to use. Tips all over the internet. No complaints from callers. I just irk Downtown where it’s loud and noisy on the street. Not a prob. I just ask Siri to turn up the volume and she does. Don’t hurt my ears. Sound quality is great.,5.0,Apple Airpods-Latest Model
good,good,5.0,Apple Airpods-Latest Model
Connection,Not worth it if they both don’t connect,1.0,Apple Airpods-Latest Model
Arrived in time,Great product,5.0,Apple Airpods-Latest Model
Impressive,"Got to admit. I wasn’t a fan of the design for a long time. I have countless pairs of by earbuds around my house. Each one has a quality I like but they are just not complete. I finally broke down and bought these and have never looked back. Sounds great, calls are very clear. Very comfortable I wear ( sometimes  I forget I have them in). Very happy with these!",5.0,Apple Airpods-Latest Model
Best  ear phones.,"Best thing i’ve Bought in a long time. No more fussing with cords that get yanked on too easily. Sound is great, love the double tap feature to stop sound. Fit also perfect. They don’t fall out of ears.",5.0,Apple Airpods-Latest Model
This product is ok not worth every penny though,The case does not last. These AirPods sound amazing. No noise cancellation which is good for me because I'm usually out for a run and need to listen for cars.,5.0,Apple Airpods-Latest Model
2 of 2 orders had issues,I usually like apple products for the packaging but as opened it had a big hair in it 😭 Also the second one was faulty and had to get a replacement at apple,1.0,Apple Airpods-Latest Model
Careful. Not the latest model,These are not the latest model,2.0,Apple Airpods-Latest Model
Apple quality is the best we tried others we now own the best,Very happy have tried other manufacturers but apple really is the best. Don’t be cheap buy apple and buy new,5.0,Apple Airpods-Latest Model
Bought for my daughter. She left bed them,Good purchase,5.0,Apple Airpods-Latest Model
Could have came sooner,Two thumbs up,5.0,Apple Airpods-Latest Model
Works as advertised and protects Airpods,AirPods stay in place in reasonably good quality sound,5.0,Apple Airpods-Latest Model
They are great!,Ok great they work perfectly I’m very happy and satisfied,5.0,Apple Airpods-Latest Model
Boom!,"I didn’t think I needed these at all, now that I have them, I couldn’t live without them. One of the best decisions I’ve ever made.",5.0,Apple Airpods-Latest Model
DONT BUY IF YOU WANT AIRPODS 2!!!,"These are good, but they are NOT the AirPods 2 I believed they were. The title is misleading. They are not the latest model. Im actually kinda pissed but I guess its ok because they still work well and have the “Hey Siri” function. I also saved money but still pissed I got mislead. I also reported this product for a misleading title.",2.0,Apple Airpods-Latest Model
As expected!!,... it’s an apple product. Is anything else needed to be said?,5.0,Apple Airpods-Latest Model
Received dirty used Airpods,"Left airpod didn’t work, plus there was earwax on them when they were supposed to be new.",1.0,Apple Airpods-Latest Model
Perfect PERFECT performance and fit.,"Good sound, though I’m 63 and not an audiophile.  But you can’t beat them for convenience.  Great for walking due to Siri based controls.  Siri also let’s me look unfamiliar words while listening to audiobooks, which I love.  Only earbuds I’ve ever found that stay in my ears, yet so light and comfortable that I forget I have them in.  Not exactly a fashion statement in my opinion.  I joke that, with the white protuberances going down out of the years of an older guy, it looks like his hearing aids are melting.  But yeah, very very good and reliable product, pairs perfectly every time with no dropped signal, really excellently designed all the way around.",5.0,Apple Airpods-Latest Model
wonderful,great product,5.0,Apple Airpods-Latest Model
Looks cool,Listening music on Morning watch !,5.0,Apple Airpods-Latest Model
Great for Driving and Shopping!,I absolutely love these AirPods. I purchased them because it was such a good deal but after using them I don’t leave home without them. Great for use while driving or shopping.,5.0,Apple Airpods-Latest Model
Highly recommended,Super convenient,5.0,Apple Airpods-Latest Model
Not Truely “Latest Model” Airpods...,So i recently just got my airpods and from the start i noticed they arent in the lates model case as the charging light is inside instead of outside but i have a feeling the airpods itself are gen2 but i may be wrong anyways im going to contacting amazon about so anyone planning to buy this beware.,4.0,Apple Airpods-Latest Model
Poor volume.,Poor volume  - I returned them,2.0,Apple Airpods-Latest Model
Buy a plug for the wall with this.,"I can’t believe that for this high of a price, these don’t come with the charging plug for the wall. Be sure to buy one.",2.0,Apple Airpods-Latest Model
Not really worth it,Poor sound quality but convenient. Actually felt as if the sound quality worsened after a week. Not worth the money,3.0,Apple Airpods-Latest Model
Work great !,For personal use to hear music while doing other activities.,5.0,Apple Airpods-Latest Model
Excellent sound and simple functionality,These are the best earbuds I have purchased. the sound quality is excellent and they hold a charge for a long time!! Love them!!!,5.0,Apple Airpods-Latest Model
Ok,"I got these for my bf who lost the first ones I got him for Christmas last year. I don't know why these are so expensive, but they seem to be of good quality. I just wish there was a way to track them if they got stolen instead of them being so easy to pair and use with another device.",4.0,Apple Airpods-Latest Model
GET A CASE the inside will uphold alot of dirt,Im not sure if its my bluetooth or not but they tend to silence out sometimes with the music still playing.,4.0,Apple Airpods-Latest Model
Chic,Personal,4.0,Apple Airpods-Latest Model
Excellent.,excellent product with the unknown advantage of being water proof.,5.0,Apple Airpods-Latest Model
Ok,Ok,4.0,Apple Airpods-Latest Model
LOVE - But recharge twice a day.,"Oh my gosh there was a short sale and my Hubby got these for me for Mother's Day and I could not be happier!!!!

Pros:
* NO WIRES (until you need to charge the case itself)
* These are the only in-ear headphones I can use, everything else gives me headaches after a short while.
* They fit snug and very rarely fall out.
* Charges last half a day of continuous listening to music
* Sound clarity is very good!  Callers can hear me better than from my phone by itself because of the case, and much better than my car's mic.
* Recharging is very short, less than 15 minutes to fully charge inside it's case - less than an hour and the case is good to recharge the ear pieces for a 2 day period without a wall socket.
* Lightweight

Cons:
* White shows EVERYTHING!  Every spec of dust, every fragment of ear wax will show up from space!
* The charge on the ear pieces only seems to last 5-6 hours at most, maybe only 4 with non-stop listening at a higher volume
* Sometimes the ear pieces lose battery and die even while not connected to anything, if not in their case.
* Sometimes one earbud seems to lose charge before the other and I still am not sure why?  Stereo sound?
* These do not cancel sound very well - I don't believe that is part of the design anyway, but worth mentioning that if you are trying to drown out noisy, gossiping co-workers, airplane humming, or highway tire rumbling, you'll want OVER EAR headphones.",5.0,Apple Airpods-Latest Model
Empty box!!!!,"The package arrived broken, dirty and empty!!",1.0,Apple Airpods-Latest Model
Make sure that it is fully charged before use,Great sound quality,5.0,Apple Airpods-Latest Model
Know  where they are at all times,"Can be easily lost, however they work very well.",5.0,Apple Airpods-Latest Model
They don’t fit all ears.,No wires is a plus but don’t stay in ear to good if I bend down to pick something of the floor they fall out.,5.0,Apple Airpods-Latest Model
Apple Air Pods are great!,Love them.  Easy to charge and use.,5.0,Apple Airpods-Latest Model
Stop asking me for reviews,It works,5.0,Apple Airpods-Latest Model
Great product,"I've bought knock off earbuds and they lasted a week, which was disappointing.  Caved and decided to buy the Apple product even thought they're always so expensive.  Sound quality is great and I'm amazed how well people can hear me through the microphone.  Some static when used around other bluetooth devices, but clears up when the devices is moved away.  Great product overall and the case holds a charge for a decent amount of time.",5.0,Apple Airpods-Latest Model
Good for the price,Love it,5.0,Apple Airpods-Latest Model
Love the battery life,Love the battery life,5.0,Apple Airpods-Latest Model
It’s not a waste of money.,I love the sound quality.,5.0,Apple Airpods-Latest Model
New air pods,"I love the new siri feature. I don’t have to tap the air pod, I can just say “hey siri”. I do notice the extended battery when listening to music or on the phone. I think it’s a good upgrade",5.0,Apple Airpods-Latest Model
Buying in Amazon is the best choice,It was a gift for my son . He loves it  🙌🏻🙌🏻🥰,5.0,Apple Airpods-Latest Model
Nice buy,Super solid legit.,4.0,Apple Airpods-Latest Model
Airpods,This was a birthday gift for my 12 year old granddaughter. She loves it!,5.0,Apple Airpods-Latest Model
excellent,sound is awesome,5.0,Apple Airpods-Latest Model
Not working properly,It's not  working properly 😔,1.0,Apple Airpods-Latest Model
Great product!,Love these earbuds!! Don’t know how I lived without them!,5.0,Apple Airpods-Latest Model
Good sound quality,Good sound quality for the size and have just made my life so much easier especially since they took out the headphone jack on I phones.,5.0,Apple Airpods-Latest Model
Product Review,"I purchased these for when I am working. When I take them out of the case, they'll both say they are at 100%. I will use them and about half an hour into use, the right airpod will have no battery life left, while the other one will be down to about 75%-71% battery life. I didn't do anything out of the norm with them to drain the battery. If this is the way all of them are, I would not recommend getting these to anyone. I wouldn't want anyone to have to go through what I am having to deal with with my own.",1.0,Apple Airpods-Latest Model
a hit with teenagers!,my granddaughter loves them,5.0,Apple Airpods-Latest Model
Uncomfortable,"These are good sound quality but, the fact that they are not sweat proof is crazy. And, they are so uncomfortable to wear. I have a couple pairs of beats, and love them. Thumbs down on these.",1.0,Apple Airpods-Latest Model
Apple is best!,Super happy with this product!,5.0,Apple Airpods-Latest Model
Must have,Can't imagine life without these,5.0,Apple Airpods-Latest Model
E live it,Not returning.  Grandson loves it. Thank you for making him happy,5.0,Apple Airpods-Latest Model
Work great!,Finally bit the bullet and order these and love them so far! I recommend getting some kind of silicon case or skin to put on the charging case,5.0,Apple Airpods-Latest Model
Nice,My family loves them,5.0,Apple Airpods-Latest Model
Muy bueno,Ótimo producto.,5.0,Apple Airpods-Latest Model
Really good!,Best sound quality I've heard in headphones but since they are hard plastic there is 0 noise cancellation I know it doesn't state it but just to let everyone know I do highly recommend,5.0,Apple Airpods-Latest Model
AMAZING,"OH MY GOD! AirPods are way better than I ever expected them to be, I can even connect them to my Apple TV! I definitely recommend. Instant pairing, amazing sound quality, and just everything you need out of earbuds. This feels way too good to be true. AMAZING",5.0,Apple Airpods-Latest Model
Dont buy,"Broke after a month of use........have no idea how to get my money back or return, amazon has no option.",1.0,Apple Airpods-Latest Model
"Convenience and ease of use is amazing, fit and sound is EH","Pros:
- I carry them everywhere in my jean's pocket because they are so small
- They ""just work""  no lag or trying to get them to pair to bluetooth, they always connect and work

Neutral:
- Battery life is good for how small the buds are, but the case is great in that it has extra charge capability

Cons:
- I can only wear them for 45mins tops before my ears start to hurt. Very uncomfortable any longer than that
- Sounds quality has a lot to be desired. I cant tell if they are just bad or that the Beats PowerBeats Pro are amazing.

Overall:
You cant win.  If you want longer lasting, more comfortable, amazing sound wireless buds, you need to get the PowerBeats Pro.  But if you get those, you will NEVER bring them with you because the case is HUGE.  I ended up buying both these airpods and Powerbeats Pro and couldnt be happier.

Though I dislike the fit and sound, these are still 4 stars because for basic podcasts, quick music at the work desk, calls, and of course how small they are, it more than offsets the cons.  But trust me, there is no way these could ever be rated 5 stars.",4.0,Apple Airpods-Latest Model
BUY THESE.,i’m in love with these!!!,5.0,Apple Airpods-Latest Model
Amount charged other than site,"I made the purchase of this product for the site in the amount of 139.99 and I was charged 152,24, I want to know the reason for the value difference",3.0,Apple Airpods-Latest Model
Buy emmmmm dudeeee,Loveeeee themmmm,5.0,Apple Airpods-Latest Model
Best Purchase Ever!,"I love my airpods! I got them nearly a year ago, and I use them ALL the time. I was so tired of tangled wires and it’s totally worth the price- I’ve been using them so much, almost daily, and it’s just so easy. Pop em in and they connect immediately!
Occasionally, the audio might blip out, but it’s once in a blue moon and doesn’t bother me, as it only lasts a second, but it might be because mine are a little worse for wear. But 10/10 recommend!!",5.0,Apple Airpods-Latest Model
Magical,"Amazing, Works like magic.",5.0,Apple Airpods-Latest Model
Buy it,I love it the sound is amazing,5.0,Apple Airpods-Latest Model
Case,Easy case to use and charge.,5.0,Apple Airpods-Latest Model
Won't let me return defective Air Pod.,"I bought this Air Pod set back on March25,2019. Wasn't shipped until April 9,2019. I held onto it untilJune 7th for my granddaughter's graduation and then I gave it to her. However, the left Air Pod is defective and doesn't work. Because I held onto it for so long before I actually gave it as a present the return window has closed. We have tried for two days to get this to work but only the right Air Pod works. Now I can't replace it...HELP !!!",1.0,Apple Airpods-Latest Model
Faulty product,"One of the earpods stop working after 3wks and I thought maybe it's the battery. I charged it, precautiousely, so I dont overcharge; and it started working again for another whole week. Then, on the 4th week of buying this crappy thing, both headphones stopped working. I know it's not because of overcharging because I definitely took precautions. It was definitely a faulty product being sold to me. But that wasn't the good part of this ordeal. Upon trying to return this product. I realized that my eligible return date has expired 2days prior b4 my airpods decided to malfunction. So hurray! I am stuck with a pair of dead broke $144 Apple Airpods purchased on Amazon. O, Happy me!",1.0,Apple Airpods-Latest Model
very good,very good,5.0,Apple Airpods-Latest Model
Amazing!,"I love them! Great sound quality, amazing! When I got them they weren’t fully charged with I thought was a little weird but other than that they’re great!",5.0,Apple Airpods-Latest Model
Absolutely amazing!!,I love my airpods!!,5.0,Apple Airpods-Latest Model
None,This is product good from iPhone,5.0,Apple Airpods-Latest Model
Ear pods,Great product,5.0,Apple Airpods-Latest Model
Awesome,Excellent,5.0,Apple Airpods-Latest Model
It's very good,"It's very good easy to connect, but again very pricey",5.0,Apple Airpods-Latest Model
So good,I absolutely love them. Battery life is great and sound quality is awesome.,5.0,Apple Airpods-Latest Model
No good,No good,2.0,Apple Airpods-Latest Model
does it work with play store phones>???,"I thought the AirPods will work with Samsung phones, this the only reason why I bought it",1.0,Apple Airpods-Latest Model
LOVE!!!,These are awesome! The sound quality is crystal clear and the battery lasts forever. Both the earbuds and the case get charged so the case keeps charging the earbuds. brilliant!,5.0,Apple Airpods-Latest Model
Great features,"I like this airports, you don't have to ear buds in your ears and they have good sounds😊",5.0,Apple Airpods-Latest Model
Completely satisfied with this item.,This wa purchase as a gift and I am sure they will not be disappointed.  Well worth the money.,5.0,Apple Airpods-Latest Model
Love it,"Great price. Was worried they were gonna be fake because of low price. Awesome stuff, girlfriend loved her present.",5.0,Apple Airpods-Latest Model
Music lover,My daughter can't live without her new headphones. Thank you,5.0,Apple Airpods-Latest Model
Excellent,"A decent price for quality headphones that work very well with my iPhone, the sensitivity could be improved, but other than that, it’s as advertised.",5.0,Apple Airpods-Latest Model
Not working,My left AirPod stopped working a minute into using it. Can I get this order replaced?,1.0,Apple Airpods-Latest Model
Meh,"Not as great as I hoped they'd be.
Upon buying them, you'll have three more things to keep charged all the time.
Supporting software makes it difficult to know precisely how much charge is in either of the three devices (two air pods -- and the charging case).

You'll also be constantly worried about losing them. When you do, Apple will make you pay for the replacement... not cheap, either.

It's hard to wear them for a long period of time -- they start to hurt your ears after a while, as they are only made of hard plastic.",2.0,Apple Airpods-Latest Model
The last model is better,I recommend,5.0,Apple Airpods-Latest Model
Legit,Was the product described and worked as it should. Came in the time allotted and have been using them everyday ever since.,5.0,Apple Airpods-Latest Model
Great value,Love it,5.0,Apple Airpods-Latest Model
Don’t buy these!!,These are great but not much better then gen1. Only addition is Siri feature. I will rather buy the previous model on discount and Save some green.,5.0,Apple Airpods-Latest Model
But these they are ligit a good deal to,I liked how you can hear music so clearly and it can go really loud or quite and you can tap the twice to change the music you should buy these this is no joke,5.0,Apple Airpods-Latest Model
Good,Good,5.0,Apple Airpods-Latest Model
Great,It is very convenient.It will play music automaticly when you put the air pods on your ears.Great sounds.,5.0,Apple Airpods-Latest Model
Sounds stinks,Wore for 20 minutes and returned (Costco). If you like these you’ve never owned Bose imo,3.0,Apple Airpods-Latest Model
Love them,They are amazing makes working out so much easier!!,5.0,Apple Airpods-Latest Model
Two stars,first and last apple product purchase,2.0,Apple Airpods-Latest Model
This might be the greatest product ever,They just work. They sync great. They sound great. By some kind of Apple magic they stay in your ear. They are just amazing amazing amazing. I'll never buy a different brand again.,5.0,Apple Airpods-Latest Model
Easy to use,"Battery last for few hours ,charging is fast too good quality",5.0,Apple Airpods-Latest Model
Worth it,"No problems, brand new and unopened, perfectly happy with my purchase :)",5.0,Apple Airpods-Latest Model
Running,I love these so much. Great for running....let me repeat great for running. These don't fall out of my ears. You do not have to buy the 250 beats. Unless your Ninja Gaiden they will stay in.,5.0,Apple Airpods-Latest Model
latest model is not a true statement,They work but they are not the latest model.  Don't let them fool you.,1.0,Apple Airpods-Latest Model
Clearest sound,Best and clear sound for phone and music,5.0,Apple Airpods-Latest Model
Fantastic Product,Worth the money! product is of high quality and exactly what it is advertised as being.,5.0,Apple Airpods-Latest Model
Lightning Airpods,Easy to configure and use,5.0,Apple Airpods-Latest Model
They are offical,"These were for my son who is 19yrs old, all he is was they cool for real...lol",5.0,Apple Airpods-Latest Model
They work great,"I love the sound, I love how fast the product was delivered and it is overall just great. I love being able to listen on any device, I love to be able to walk around freely and still be able to listen to my devices. Overall way better than cord headphones! :)",5.0,Apple Airpods-Latest Model
Just what he wanted,My grandson really likes these,5.0,Apple Airpods-Latest Model
The best earphones ever,"The best earphones. Good battery life, excellent sound and quality. The best of all... the price was lower than Apple.com so great deal I totally recommends it.",5.0,Apple Airpods-Latest Model
Consistency & Ease of Use are the best with Airpods..like it or not.,"I'm not honestly a fan of Apple & the way they force some of their ideas on us, but in some cases, they're just unbeatable. When you compare AirPods to every other product out there, nothing is easier to pair, works better or longer and more consistently than these. I don't care about wireless charging myself, but having Bluetooth 5.0 is a worthwhile improvement over the 1st gen for both range and power usage. For what it's worth, I don't think the sound quality is great for music, but they're just fine for conversations.",5.0,Apple Airpods-Latest Model
Best bluetooth earphones by far.,Great product! Love it! Best bluetooth earphones by far.,5.0,Apple Airpods-Latest Model
Good,Amazing,5.0,Apple Airpods-Latest Model
The best,Omg! These are awesome! No strings and quality of hearing is great,5.0,Apple Airpods-Latest Model
