web-scraper-order,web-scraper-start-url,title,body,rating,next,next-href
"1573062957-17407","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I will recommend these to everyone","Absolutely outstanding!  I will recommend these to everyone!","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_83?ie=UTF8&pageNumber=83&reviewerType=all_reviews"
"1573062783-16748","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great value Bluetooth Earbuds for the money.","These are awesome! Contain several sizes of memory foam tips, super easy and fast at pairing via Bluetooth. Sound quality is great and noise cancelation is great with memory foam tips. Very  comfortable and great battery life...

Negatives? Honestly I can't think of anything, probably not the best sounding Earbuds ever made, but to me they sound great. They appear to be made of high quality materials, only had them a few days so hard to judge.

ONE MONTH LATER. still nothing bad to say about them, i wear them around my neck with them magnetically linked like a necklace wherever I go!","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews"
"1573062896-17189","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","It's okay for the most part","Though this worked wonders when I first bought it....it stopped working just now...I only had it for 4 months.","3.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_61?ie=UTF8&pageNumber=61&reviewerType=all_reviews"
"1573062896-17188","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Broke within a week of purchase","Broke within a week of getting them. And before that the sounds went out in one year and then the other. Not happy at all with these!","1.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_61?ie=UTF8&pageNumber=61&reviewerType=all_reviews"
"1573062761-16670","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Really nice pair of earbuds","I really liking these earbuds. Great sound quality and great bass. They’re great for working out and they block out all excess noise in the gym which is very nice. Overall a really like these earbuds","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1573063118-17976","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I would say this is the best sounding earphones i have ever had sadly it only ...","I would say this is the best sounding earphones i have ever had sadly it only lasted for two months. I would love to buy a new one but i don't know if i would risk another $40 after the first one i had :(

Update: May 16 2018

I tried to contact treblab about the issue and now they are giving me a new one! Their customer service is really good! They would reply within 24 hrs. Thanks Treblab.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_140?ie=UTF8&pageNumber=140&reviewerType=all_reviews"
"1573062912-17247","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","very good for the 2 weeks before they lost sound in ...","very good for the 2 weeks before they lost sound in the left driver. I am disappointed in the durability but the cost was good.","3.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews"
"1573062739-16597","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Yeah, these are actually decent","Honestly an exceptional product. I didn't but it expecting much, but I was pleasantly surprised at the build and sound quality. The usability is also exceptional. I have a friend who recently bought a $20 pair of Bluetooth earbuds, and he said he had connection issues and asked me to try them for a day to see if I had the same issues. His seemed good enough (I think the connection issues were with his phone), but when I tried putting his in one ear and the j1's in my other ear and switched back and forth.... Holy smokes.. his sounded like tin cans compared to these babes. Also his had a seriously annoying method of pairing with the phone that wasn't clearly explained. I love how the j1's have voice feedback to tell you when they're on, dying, pairing or connected. Personally this is my second only my second pair of Bluetooths, but so far that's a feature I've only seen in high end Bluetooths like those by Bose.

Personally though I found I didn't like the things that are supposed to hook into your ear. I took mine off.

Side note, I also appreciate that the CEO of the company reaches out to request a review, I thought that's kind of interesting. However the link included I thought might be kind of sketchy, so I initially wasn't going to review. But after trying my friend's tin cans, I thought: ""hey why not, these guys did a good job.""

I still didn't use that link though, haha.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1573062783-16744","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Excellent product","Excellent product. I have purchased other items as well from treblab. Excellent quality. For me better than all similar commercial products.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews"
"1573062904-17214","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great fit + sound","They are small and light but still have impressive sound!","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&pageNumber=64&reviewerType=all_reviews"
"1573062909-17234","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Worth it","Yea these headphones are pretty sweet, better noise cancellation than I expected","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews"
"1573062909-17231","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I love them but.....","One side doesn't work anymore,  just got them in April.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews"
"1573062787-16759","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mostly great.","I tend to wear my earbuds all day around my neck.  I put them in when I am on a call or listening to music.  When not in my ear, they are constantly slipping around my neck to the side with the controls.  I have to adjust them multiple time throughout the day or the will completely slip off.  When I do have them both in my ears they work great.  Callers have said they can hear me fine, and music sounds good.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews"
"1573062841-16951","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great sound! Needs stronger Bluetooth connection.","There are times that it works great at a distance like when I’m home cleaning and the phone is in the other room. The rub for me is when I’m walking down the street and I place my phone in my pocket, the sound is staticky and seems to cut out. Otherwise, I love them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews"
"1573062965-17431","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Rip off","I bought these headphones in hope they would be as great as advertised,  they are definitely not. Honestly my skullcandy headphones are better than these in the sound category . Most certainly do not recommend","1.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_86?ie=UTF8&pageNumber=86&reviewerType=all_reviews"
"1573062806-16821","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I love these.","I waited a while before reviewing to see how these did and I love them. They sound great, stay in place and are long enough that I can actually connect them around my neck. I'm definitely a fan!","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews"
"1573062863-17045","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","The charge have to be better","For 2 week used
Now is very good
Just the charger is very delicate for use","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&pageNumber=47&reviewerType=all_reviews"
"1573063025-17649","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Exceeded my expectations!","These ear buds sound great and have an impressive range.  I can easily walk 40ft away from my phone and still clearly hear a conversation. Comfortable in the gym and the controls on the cord allow you to easily change the volume or advance songs.  The battery life is very impressive given the very small size.  Comes with a great carrying case to keep the cords all together and preventing them from being stretched or otherwise damaged.  Multiple ear inserts included to fit any human size ear.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_107?ie=UTF8&pageNumber=107&reviewerType=all_reviews"
"1573062769-16697","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","Very nice, works well, good sound, great battery life.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1573062916-17269","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Buenos","Muy buenos","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&reviewerType=all_reviews"
"1573062989-17538","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Best bluetooth earbuds I've owned so far","So far very satisfied with them. Lives up to all descriptions. Only wear them on average 6 hours per week when I work out. I hope they last.  Worth buying.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_96?ie=UTF8&pageNumber=96&reviewerType=all_reviews"
"1573063029-17666","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","music skipping and comfort issues","I was hyped after reading all the reviews but i faced a couple of issues with these earbuds
1. they were not quite comfortable for me...i played around with different combinations of the provided earfins and buds, but it just didn't work out...now this is a personal thing and may not apply to everyone
2. this was why i returned them - when i played music, it got cut off intermittently and that was annoying...so i could never hear the entire song...it always broke off and skipped parts of the song...","3.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_109?ie=UTF8&pageNumber=109&reviewerType=all_reviews"
"1573062751-16637","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sub par sound quality","Really low sound quality. None of the ear bud fittings work well. The choices are either too small which allows outside noise through our slightly too large which ends up being uncomfortable. I contacted the manufacturer reacted than just returning them and that turned out to be a mistake since they simply offered me a 15% refund to ""increase the value of the product for me"" (their words). However the battery life and Bluetooth connectivity are decent. The low rating comes from the sound quality, comfort, and customer service.","2.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1573063007-17587","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good buy","Great earbuds!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_101?ie=UTF8&pageNumber=101&reviewerType=all_reviews"
"1573062742-16604","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good Headphones, Questionable Build Quality","I purchased these headphones in September 2018, and have been pleased with the style, sound, and battery life. I mostly listen to podcasts while commuting or running, so fidelity is not the highest priority on my list. They sound good enough for my uses. One initial complaint from their use is that, when I listen with only one earbud in, the weight of the other causes the whole affair to shift to the opposite side, threatening to pull out the earbud I am using. I feel that, if there were some method for clipping the wire to my collar, this would not be an issue.

In February of 2019, however, I have noticed the right earbud had started to crackle, and lose audio completely. By holding the wire at the proper angle, I would get audio back, but only intermittently. This could be due to normal wear and tear, or caused if I have pulled the earbuds in adjustment, weakening the connection. Either way, some sort of reinforcement might be a better design. I will look at headphone designs in the future with this in mind.","3.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1573062764-16680","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Comfortable, with a great run time","Sturdy construction, solid sound, and a very long battery life at up to 9 hours. What’s not to love? I got these headphones to use while I’m doing yard work and running, so I wanted them to be durable and stay in place well with a long run time. When I get moving they do have a tendency to need adjustment even with proper earbud sizes which is a little annoying, but they weren’t falling out of my ears so it’s not the worst. As far as the run time goes, it’s top-end for even the best Bluetooth headphones at 9 hours. Beyond that, once you’re out of battery it only takes 1.5-2 hours to get charged to 100% again.

These are very solid headphones, not even just for the low price.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1573062899-17193","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","These headphones are greate for the gym. Had some ...","These headphones are greate for the gym. Had some other more expensive bluetooth ones and barely lasted a couple of months. For the price you cant go wrong with these.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_62?ie=UTF8&pageNumber=62&reviewerType=all_reviews"
