web-scraper-order,web-scraper-start-url,title,content,rating,next,next-href
"1573056526-12480","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I am very pleased with the quality and clarity of this screen protector","I am very pleased  with the quality and clarity of this screen protector.  After viewing the suggested installation video, my installation was easy.  No bubbles, no dust.  The fit was perfect.  I like the slickness of the screen as I move my finger over it.
A few days after installing the screen oprotector, one of the corners can loose.  After a couple emails, customer service mailed a replacement to me.  I worked with Lilly and she did a great job resolving the issue and making sure I was happy with the solution.  I definitely would buy this Sparin protector again.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_91?ie=UTF8&pageNumber=91&reviewerType=all_reviews"
"1573056794-13506","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Happy with purchase","Solid product. Looks intimidating to apply but I had no issues. Can’t speak for durability as I have had it less than a week.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_193?ie=UTF8&pageNumber=193&reviewerType=all_reviews"
"1573057007-14301","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","perfect fit and I've had it on for months with ...","Just as advertised. My ipad has a cracked screen. perfect fit and I've had it on for months with no problems.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_273?ie=UTF8&pageNumber=273&reviewerType=all_reviews"
"1573057025-14377","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nice","easy to use","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_280?ie=UTF8&pageNumber=280&reviewerType=all_reviews"
"1573056837-13667","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Birthday surprise for my son!","It was EXACTLY what he wanted and he absolutely LOVES it. Not a single problem.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_209?ie=UTF8&pageNumber=209&reviewerType=all_reviews"
"1573056304-11614","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Had this on my wishlist for far too long","I have owned my iPad 6th gen for almost a year and ever since I bought my first case for it I received recommendations to buy this screen protector. It wasn't until recently that I finally caved and bought it. Boy, do I regret tabling the decision for so long.

This screen protector works with most of the cases I own for my iPad and it does not impede the movement of the Apple Pencil or Logitech Crayon as the glide across the screen. Install was much easier than I thought it would be. Just watch the video and take your time.

This screen protector is well worth the price and effort needed to properly install it. It's the #1 rated glass screen protector for the iPad for good reason. It works!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1573057244-15238","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good","Seems to be working really nice. I have been using it for an year now, yet to have any problems.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_366?ie=UTF8&pageNumber=366&reviewerType=all_reviews"
"1573057110-14707","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good protection for iPad Pro screen for a good price !","Good product..exactly fit on the iPad Pro, and did not interfere with the ProCase Folio I also purchased  from Amazon. True to their ad, it pretty much eliminates finger smudges and I trust it will not show scratches. Good product !!!  Good buy from Amazon !","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_313?ie=UTF8&pageNumber=313&reviewerType=all_reviews"
"1573056925-13993","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Easy install. PLEASE make sure you are not in ...","Easy install. PLEASE make sure you are not in a dusty area or with any pets. The youtube video also helps a lot with install.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_242?ie=UTF8&pageNumber=242&reviewerType=all_reviews"
"1573056315-11657","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Quality of Glass is Great, Installment not the easiest but better than most","So far the protector seems to do well, it's been less than 24 hours so I haven't used it extensively. There is no camera opening in the protector...not sure if there is supposed to be or not. The only hole is for the iPad power button on the bottom. As far as installment, it was easy for the most part, I like that it comes with both a wet and dry cloth to clean the screen and even a dust remover (sticker), although I still managed to get a piece of dust even though I followed the steps. The Guide stickers did not help me at all, I put all three of them on the side of the glass as directed but the glass slid off the iPad and I had to remove the stickers to re-align the glass to the iPad, so unnecessary steps were included. The soft flexible card to remove the air bubbles was so small that I didn't see it until after i had pushed most of the bubbles out by hand. It could be slightly larger and also be included in the printed directions...just some feedback for the manufacturer.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1573056791-13493","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Fits great!","Once you clean off all dust and dirt and carefully put it on, it fits great! I bought two and on one the corners came off. I was able to hear from them and they really helped me out! Customer service is great and you hear from them almost right away! I'm very pleased!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_192?ie=UTF8&pageNumber=192&reviewerType=all_reviews"
"1573056581-12709","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very good.","I am really impressed with this screen protector. It is really easy to install, and with the guide stickers, it will go on straight.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_113?ie=UTF8&pageNumber=113&reviewerType=all_reviews"
"1573057552-16361","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Definitely worth buying","Pros- very easy to put on and love that it comes with a dust remover pad to help het the little particles off that tablet.

Con- the only thing is that it seems like I have to swipe a little harder on my screen to make things work. But I am sure I will get used to it over time!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_479?ie=UTF8&pageNumber=479&reviewerType=all_reviews"
"1573056484-12314","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","UGH","OMG SO hard to apply. I followed directions and still ended up with massive bubbles and streaks under it. Ive had screen protectors on my iPhone and kindles and never had an issues until I was placing this on my new iPad. Holy smokes its a process. The tape is a great idea but execution was poor, more than likely on my part. Lol.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_74?ie=UTF8&pageNumber=74&reviewerType=all_reviews"
"1573056432-12102","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","“SPARIN” is the most responsive and helpful “Team” I have ever had contact with! Thank you!......Linda","I had a problem with one of their products. They immediately responded and corrected my problem. “if you feel you have any type of problem with any one of their products, “you have their total undivided attention to correct your exact problem with their product by any means available to them.
Sparin’s “Team” are truly the most responsive, concerned, and professional people I have corresponded with in a looong time!

Thank you Spartan “Team”!!!
Linda","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&pageNumber=53&reviewerType=all_reviews"
"1573056389-11940","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great screen protector and great company","The first screen protector I received I had a ton of trouble putting on, as I don’t have much experience installing my own tempered glass protectors. But the customer support team reached out to me soon after I received the product and I explained to them the situation and they sent me another one for free! The second one I took a little more time and diligence installing and it looks SO beautiful on my screen. It fits perfectly and you can barely tell it’s there. My apple pencil glides very nicely over it as of it’s not even there. I am super pleased not only with the product (now that I got it on right) but also with customer support. They were wonderful throughout the entire process.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&pageNumber=37&reviewerType=all_reviews"
"1573057478-16087","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Satisfied","Fit ipad perfectly","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_451?ie=UTF8&pageNumber=451&reviewerType=all_reviews"
"1573057148-14858","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","the edges are very easy broken. But very few scratches after I used ...","Broken after I drop it from my bed,  the edges are very easy broken. But very few scratches after I used for 5 months, still feel very clean.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_328?ie=UTF8&pageNumber=328&reviewerType=all_reviews"
"1573056471-12260","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Quality Safety Screen","Reading the instructions prior to attempting installation was key to success. I had no major issue that had not been discussed in the instructions. Once the air bubble was removed as described ... life was good.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&reviewerType=all_reviews"
"1573056596-12769","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Makes my iPad toddler proof","One of the easiest screen protectors to install. Fits my iPad perfectly. Doesn’t interfere with case. Hopefully it will prevent costly repairs.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_119?ie=UTF8&pageNumber=119&reviewerType=all_reviews"
"1573057259-15294","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","IPad Air 2 protection glass screen by Sparin","I like it.  Great protection and instructions for putting on iPad.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_372?ie=UTF8&pageNumber=372&reviewerType=all_reviews"
"1573057219-15131","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","Works well, inexpensive, and durable.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_356?ie=UTF8&pageNumber=356&reviewerType=all_reviews"
"1573057280-15375","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","One Star","it is not GLASS at all - it is plastic !! very misleading advertising","1.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_380?ie=UTF8&pageNumber=380&reviewerType=all_reviews"
"1573057371-15719","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I did it half asleep in the night and it stil came out perfect. It seems daunting to mess up but the ...","Go to the video it gives you in the packaging. I did it half asleep in the night and it stil came out perfect. It seems daunting to mess up but the instructions are clear.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_414?ie=UTF8&pageNumber=414&reviewerType=all_reviews"
"1573057274-15355","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","One Star","Garbage!! Snapped while I was trying to put it on! Don't waste your time or money!! Also, there isn't a hole for you the front camera.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_378?ie=UTF8&pageNumber=378&reviewerType=all_reviews"
"1573057517-16230","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Poor quality","This product shattered and I have only had the product three months.  Not worth the money spent.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_466?ie=UTF8&pageNumber=466&reviewerType=all_reviews"
"1573057533-16291","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","Found it easy to install, no problems with bubbles. Packaging was excellent and included cleaning pads for installation.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_472?ie=UTF8&pageNumber=472&reviewerType=all_reviews"
"1573057459-16021","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","Love it!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_445?ie=UTF8&pageNumber=445&reviewerType=all_reviews"
"1573056891-13865","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I like it!","Take your time putting this on - watch the instructional videos on YouTube - watch several, there are some good tips that will aid you in the actual deed. It works well IF you get it applied correctly. REALLY well!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_229?ie=UTF8&pageNumber=229&reviewerType=all_reviews"
"1573057167-14925","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great Protector","This is a great screen protector and has held up well, I use my iPad on a daily basis and travel with it to and from work.  There iare zero scratches thus far, it was easy to install, and my only complaint is how easily the screen get smudged.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_335?ie=UTF8&pageNumber=335&reviewerType=all_reviews"
